sid,hash8,name,description,categories,status,file_count,total_bytes,plugins,locations,crawled_at
ax,5e85370e,ax,AX（Agent Operational Ontology / エージェント運用オントロジー）。リポジトリ bonsai/AX の定義に沿って、エージェントが「何であるか（BE）」と「何ができるか（D,rpa,OK,1,7450,,wsl/.skills,2026-09-25T02:50:23
bqmlite,7dc95ab4,bqmlite,ローカルの SQLite/CSV を BQMLite (bonsai/bqmlite-go) で学習・予測する。BigQuery も MLフレームワークも使わず、決定的(deterministic)に,ai,OK,2,7768,,wsl/.skills,2026-09-25T02:50:23
char-distribution,c0d1c1f7,char-distribution,文章中の文字種・言語の割合（英語/日本語/中文/emoji/その他）を簡易計測する。文字分散、言語比率、文字種の割合、英語と日本語のミックス確認、「何%英語か」「言語の割合を測って」「lang rat,other,OK,34,41021,,wsl/.skills,2026-09-25T02:50:23
ds-insighter,a6a62376,ds-insighter,解析・洞察エンジン。sync-db の JSONL canonical data を読み込み、insight抽出・metrics計算を行う。ds-view/kenja の入力源。「insight抽出」,ai,OK,110,5264545,,wsl/.skills,2026-09-25T02:50:23
ds-view,9a455379,ds-view,表示層。ds-insighter の insights.jsonl + metrics.jsonl を読み込み、HTMLダッシュボードまたはCLI表示にレンダリングする。「ダッシュボード表示」「ins,ai,OK,55,52324,,wsl/.skills,2026-09-25T02:50:23
s006,07d8dabc,ext-install-skill,>-,other,OK,66,70550,,wsl/.skills,2026-09-25T02:50:23
footer,0301844c,footer,>,vocab,OK,7,17652,,wsl/.skills,2026-09-25T02:50:23
grill-me,b33b4ecc,grill-me,A relentless interview to sharpen a plan or design.,other,OK,35,29315,,wsl/.skills,2026-09-25T02:50:23
s009,5ac55593,kenja,"エージェントアーキタイプ定義と決定論的発話エンジン。ds-insighter の insights.jsonl / metrics.jsonl を読み、インスタンス（hiroyuki, socrate",ai,OK,48,47815,,wsl/.skills,2026-09-25T02:50:23
lx,8f9a922c,lx,LX（Language X / 言語の型）。英単語オントロジに沿って、難しそうな語を文脈から獲得し、短い和訳・用法・学習状態を登録するラッパースキル。起動ワード「lx」「LXして」「英単語」「語彙」「,ai,OK,1,3154,,wsl/.skills,2026-09-25T02:50:23
mimic-me,20e63443,mimic-me,ユーザー(bons)の口癖・文体を集計して再現する。ユーザーに代わって短い返信・コミットメッセージ・Issue本文・チャット文案・日記を書くとき、「口癖」「真似して」「わたしっぽく」「俺の文体で」「b,editor,OK,35,40828,,wsl/.skills,2026-09-25T02:50:23
mx,d7f890c4,mx,MX（Marketing Transformation / マーケティング・トランスフォーメーション）フレームワーク。リポジトリ bonsai/MX の実践モデルに沿って、市場を観測し顧客との関係を設,ai,OK,1,4656,,wsl/.skills,2026-09-25T02:50:23
pain-sense,a29793e7,pain-sense,>,research,OK,1,4338,,wsl/.skills,2026-09-25T02:50:23
pi-config-memo,616b51c0,pi-config-memo,"Pi (pi-coding-agent, the terminal AI coding agent) の設定・構成ファイルの場所と編集方法を覚えておくためのメモ。Pi のデフォルトモデル・プロバイダ・",opencode,OK,32,33187,,wsl/.skills,2026-09-25T02:50:23
recap,a3a6e0df,recap,>,other,OK,1,3458,,wsl/.skills,2026-09-25T02:50:23
skill-consolidator,36dcb57c,skill-consolidator,ばらけたスキルを一か所（C:\Users\0501JP\.config\opencode\skills、単一ソース）へ集約し、重複・壊れリンク・フロントマターを是正する。「スキルをまとめる」「スキル集,inventory,OK,32,35773,,wsl/.skills,2026-09-25T02:50:23
skill-crawler,274b0212,skill-crawler,全プラットフォーム（Windows / WSL / repos）から「使えるスキル」を探索して棚卸しする。「skillクローラ」「skill crawler」「スキルを探す」「スキル棚卸し」「全部のス,inventory,OK,32,35986,,wsl/.skills,2026-09-25T02:50:23
s018,811bfbf0,supervised-delegation,"""Delegate coding to Claude Code CLI (features, PRs).""",other,OK,64,162786,,wsl/.skills,2026-09-25T02:50:23
s019,02b00002,sync-db,Multi-device SQLite sync toolkit. CLI `sdb` commands for export/import/memory-extract/memory-ingest/,sync,OK,146,1356964,,wsl/.skills,2026-09-25T02:50:23
tips-word,5ac68d57,tips-word,>,vocab,OK,32,34511,,wsl/.skills,2026-09-25T02:50:23
tsumete,0e740139,tsumete,計画や仕様を実装前に問い詰めて明確にする。,other,OK,32,29100,,wsl/.skills,2026-09-25T02:50:23
uipath-admin,4692acbb,uipath-admin,"""UiPath Admin via `uip admin` — Identity Server (users, groups, robot accounts, external OAuth2 apps",rpa,OK,29,297223,,wsl/.skills,2026-09-25T02:50:23
uipath-agents,12e63343,uipath-agents,"""End-to-end work with UiPath Agents of all types: build, integrate with UiPath Products (e.g., Orche",rpa,OK,81,846147,,wsl/.skills,2026-09-25T02:50:23
